mlmifkfgafheljfcjlgoiggcfjenjeed,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gppnidlggajiiopddmpamlkflfgmabkf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dkbncpidkjkcoibibdnebmnfihnbibdb,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
ddbelhnmdmncbpbpahkdefielfcdhnib,37,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
pfchohchkhkhojmbdcdmnpdmadoohnbo,44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ickfhlplfbipnfahjbeongebnmojbnhm,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmibjefcmdhoeomfojpogiaonngjoijj,38,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nddjdieamjmmgcbhiohfddmkgekpfjbc,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
eldcipbdbffjmilehgjbiefafanknlkk,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
dfddfiedihbijfeacjamchlliogmjjnd,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
fgiflpphgdcbgambogopeecfbnojdfpj,36,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,5,0
dmgkiikdlhmpikkhpiplldicbnicmboc,53,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
jbldjpoafkkdgfkoadpcchbkfmmpfmhf,19,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hhejkiabbehkembogeihdnfjnfkhgbdc,51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
jechndchfbophglblonhojmmhmemchcn,44,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0
pfggohdmelklomhabkeegajkjpdgppld,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
mnkjkkagkcnbcgnigoncgpnaihlejjid,19,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgcbehhbmokcpnmahniomefhmocdhfbi,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
hmkmoecmcjiokhfnoidacmjmafognjoh,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
clifonkhnokgkmdfjdhdbbepnkpffbfh,89,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0
loognpjbgfhbbjldllhkekdcldfllfbk,83,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
ajadnimpkbehakgklcfgcbnljcfcmloi,77,1,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0
lhjajgnfmiliphkioedlmbfcdkhdhnkc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bnlanfoeolmminabanfaomlpacadfkie,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mokdnjonnjhagkckdjlinnedmaipljog,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dipokljanhbbdonbpfacgcncogpodlah,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
mbdimhpjmincnlamikklodnefpooaggn,39,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
ononoplggioejkhmbpgpjanapelcpmbp,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kcmphcddcbeeldhlifhndohiidbfkedb,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,0
gefompgkggmjbcihdkdbfddhjnnceipm,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
mmfekkkomkdiialfnpbblggpbilnbbeh,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bejcmdmammfaimknomgocfhebbgjgcje,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
fiabciakcmgepblmdkmemdbbkilneeeh,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kkjapckelegebiaanlkiomhephepbhpi,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jbegmaldhnainfnibmnkmfjanecmmgim,36,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,5,0
bkljmpppcfepdfokbjlocdhipammabkm,74,2,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,14,0
dlbkipdloejpgekglcncflhhcfcbmhpk,121,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ohfphjhbilmblbbhdihnmabcagahmkhc,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
cgnhnndokfijmaadnpecgecpcnpnabph,59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
odognhgojidbcgconbcipmgffjcmfaoj,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0
jangngmeoofgklofielfphpimjoahnkn,19,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgpekjjflbpnmnlpgjchopakpjckgngn,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
eakooadeppcmmjnaobpgmegimoihkaio,350,6,0,12,5,0,1,0,0,1,0,0,0,0,0,1,0,2,0,17,0
gblcipnhjjbiigbabmpifklolkdpndmd,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hnfanknocfeofbddgcijnmhnfnkdnaad,50,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0
poildibeoniaibomedledajlgfbohjda,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
lanchoggmnkmkehofmdonkbcdolfonmf,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
imblndhbdddibjabnddopiehagbkipkj,63,0,0,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,18,0
hfnmagmigjbbmjlanikaihcokkmidlfb,61,0,0,5,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,18,0
liopdejclmbgedpfbanldfihoendpmmj,36,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,5,0
elpngmlmagmajeenceacegopapohpijc,36,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,5,0
bkbmnkadloldhjmcjgcjcjgfkiombbld,36,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
jncjepfhknecebgcflnpljccjmgnkdcj,28,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jijkkddhochpdbhnmhmjdnmeopoehmih,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cljeokgmgbbbdopaplajkildgikijfoa,37,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
ohpjlcphbpkgkchmllaaiieojidhjijg,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0
aingofbhmlfcipgbiigofclgnimdgoka,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
jjamdkjlemdnnijefbljcbbkkghkcdge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apbcbecdpjefgklcokinpapmmdekecah,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igbgpehnbmhgdgjbhkkpedommgmfbeao,152,1,0,10,6,0,0,0,0,0,0,0,2,0,0,0,0,5,0,12,0
knjpopecjigkkaddmoahjcfpbgedkibf,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eeplacmnlpbpcienmpjkabindclhgkeo,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
bgnfciidadaiacgdbklebabbchfngbgn,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
mcloecomjpneihhllkklodonkfohcdcj,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
feljokbaemajlmpdalgpilfnafipbicl,37,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
mjjgmlmpeaikcaajghilhnioimmaibon,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kcgmdmiklefbbknlajdlngofclkianjp,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
pbcodcjpfjdpcineamnnmbkkmkdpajjg,238,2,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,44,0
ocfkokcnnbefdfgchdmhgfnclmphhhlp,170,2,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
kbnnkmippakelcfmoflahciiaildgmgb,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
